Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
1,5048,248,18068,"Unknown","1 928,51","1 934,97",140 723 772 198 448,"6,46",
1,5048,249,19048,"Unknown","1 928,94","1 935,05",140 723 772 198 448,"6,11",
1,5048,250,1872,"Unknown","1 929,31","1 935,80",140 723 772 198 448,"6,49",
1,5048,251,14584,"Unknown","1 929,70","1 938,07",140 723 772 198 448,"8,37",
1,5048,252,16744,"Unknown","1 931,42","1 938,15",140 723 772 198 448,"6,73",
1,5048,253,19136,"Unknown","1 931,81","1 939,31",140 723 772 198 448,"7,51",
1,5048,254,15640,"Unknown","1 933,27","1 940,60",140 723 772 198 448,"7,33",
1,5048,255,20240,"Unknown","1 934,29","1 940,33",140 723 772 198 448,"6,03",
1,5048,256,17932,"Unknown","1 934,95","1 941,58",140 723 772 198 448,"6,62",
1,5048,257,15724,"Unknown","1 935,72","1 942,72",140 723 772 198 448,"7,00",
1,5048,258,15836,"Unknown","1 936,15","1 943,59",140 723 772 198 448,"7,44",
1,5048,259,11808,"Unknown","1 937,80","1 943,58",140 723 772 198 448,"5,78",
1,5048,260,15856,"Unknown","1 938,25","1 944,47",140 723 772 198 448,"6,22",
1,5048,261,5596,"Unknown","1 938,64","1 945,15",140 723 772 198 448,"6,50",
1,5048,262,10808,"Unknown","1 939,56","1 945,54",140 723 772 198 448,"5,98",
1,5048,263,6980,"Unknown","1 940,72","1 945,99",140 723 772 198 448,"5,27",
1,5048,264,18988,"Unknown","1 941,60","1 945,85",140 723 772 198 448,"4,25",
1,5048,265,15660,"Unknown","1 992,06","1 997,32",140 723 772 198 448,"5,26",
1,5048,266,15260,"Unknown","1 992,68","1 997,52",140 723 772 198 448,"4,84",
1,5048,267,5600,"Unknown","1 993,37","1 999,26",140 723 772 198 448,"5,89",
1,5048,268,1088,"Unknown","1 993,90","1 999,82",140 723 772 198 448,"5,92",
1,5048,269,15852,"Unknown","1 994,27","2 002,64",140 723 772 198 448,"8,36",
1,5048,270,12772,"Unknown","1 994,64","2 001,55",140 723 772 198 448,"6,91",
